Trace1,
Freq,,Amp,,
            77700000,Hz,              -84.71, dBm,
            77716666,Hz,              -84.72, dBm,
            77733332,Hz,              -84.72, dBm,
            77749998,Hz,              -84.74, dBm,
            77766664,Hz,              -84.76, dBm,
            77783330,Hz,              -84.77, dBm,
            77799996,Hz,              -84.76, dBm,
            77816662,Hz,              -84.71, dBm,
            77833328,Hz,              -84.67, dBm,
            77849994,Hz,              -84.64, dBm,
            77866660,Hz,              -84.62, dBm,
            77883326,Hz,              -84.61, dBm,
            77899992,Hz,              -84.60, dBm,
            77916658,Hz,              -84.60, dBm,
            77933324,Hz,              -84.60, dBm,
            77949990,Hz,              -84.60, dBm,
            77966656,Hz,              -84.61, dBm,
            77983322,Hz,              -84.63, dBm,
            77999988,Hz,              -84.65, dBm,
            78016654,Hz,              -84.66, dBm,
            78033320,Hz,              -84.61, dBm,
            78049986,Hz,              -84.54, dBm,
            78066652,Hz,              -84.44, dBm,
            78083318,Hz,              -84.39, dBm,
            78099984,Hz,              -84.37, dBm,
            78116650,Hz,              -84.36, dBm,
            78133316,Hz,              -84.36, dBm,
            78149982,Hz,              -84.36, dBm,
            78166648,Hz,              -84.34, dBm,
            78183314,Hz,              -84.33, dBm,
            78199980,Hz,              -84.34, dBm,
            78216646,Hz,              -84.37, dBm,
            78233312,Hz,              -84.40, dBm,
            78249978,Hz,              -84.43, dBm,
            78266644,Hz,              -84.45, dBm,
            78283310,Hz,              -84.46, dBm,
            78299976,Hz,              -84.48, dBm,
            78316642,Hz,              -84.50, dBm,
            78333308,Hz,              -84.51, dBm,
            78349974,Hz,              -84.51, dBm,
            78366640,Hz,              -84.51, dBm,
            78383306,Hz,              -84.52, dBm,
            78399972,Hz,              -84.54, dBm,
            78416638,Hz,              -84.56, dBm,
            78433304,Hz,              -84.57, dBm,
            78449970,Hz,              -84.56, dBm,
            78466636,Hz,              -84.56, dBm,
            78483302,Hz,              -84.57, dBm,
            78499968,Hz,              -84.57, dBm,
            78516634,Hz,              -84.55, dBm,
            78533300,Hz,              -84.54, dBm,
            78549966,Hz,              -84.52, dBm,
            78566632,Hz,              -84.50, dBm,
            78583298,Hz,              -84.49, dBm,
            78599964,Hz,              -84.48, dBm,
            78616630,Hz,              -84.48, dBm,
            78633296,Hz,              -84.48, dBm,
            78649962,Hz,              -84.47, dBm,
            78666628,Hz,              -84.44, dBm,
            78683294,Hz,              -84.42, dBm,
            78699960,Hz,              -84.41, dBm,
            78716626,Hz,              -84.40, dBm,
            78733292,Hz,              -84.38, dBm,
            78749958,Hz,              -84.37, dBm,
            78766624,Hz,              -84.37, dBm,
            78783290,Hz,              -84.39, dBm,
            78799956,Hz,              -84.41, dBm,
            78816622,Hz,              -84.39, dBm,
            78833288,Hz,              -84.35, dBm,
            78849954,Hz,              -84.30, dBm,
            78866620,Hz,              -84.24, dBm,
            78883286,Hz,              -84.22, dBm,
            78899952,Hz,              -84.24, dBm,
            78916618,Hz,              -84.29, dBm,
            78933284,Hz,              -84.34, dBm,
            78949950,Hz,              -84.36, dBm,
            78966616,Hz,              -84.36, dBm,
            78983282,Hz,              -84.35, dBm,
            78999948,Hz,              -84.34, dBm,
            79016614,Hz,              -84.28, dBm,
            79033280,Hz,              -84.21, dBm,
            79049946,Hz,              -84.14, dBm,
            79066612,Hz,              -84.13, dBm,
            79083278,Hz,              -84.17, dBm,
            79099944,Hz,              -84.18, dBm,
            79116610,Hz,              -84.14, dBm,
            79133276,Hz,              -84.09, dBm,
            79149942,Hz,              -84.05, dBm,
            79166608,Hz,              -84.06, dBm,
            79183274,Hz,              -84.11, dBm,
            79199940,Hz,              -84.17, dBm,
            79216606,Hz,              -84.25, dBm,
            79233272,Hz,              -84.27, dBm,
            79249938,Hz,              -84.25, dBm,
            79266604,Hz,              -84.21, dBm,
            79283270,Hz,              -84.16, dBm,
            79299936,Hz,              -84.12, dBm,
            79316602,Hz,              -84.07, dBm,
            79333268,Hz,              -84.02, dBm,
            79349934,Hz,              -83.98, dBm,
            79366600,Hz,              -84.01, dBm,
            79383266,Hz,              -84.10, dBm,
            79399932,Hz,              -84.20, dBm,
            79416598,Hz,              -84.26, dBm,
            79433264,Hz,              -84.26, dBm,
            79449930,Hz,              -84.20, dBm,
            79466596,Hz,              -84.10, dBm,
            79483262,Hz,              -84.05, dBm,
            79499928,Hz,              -84.02, dBm,
            79516594,Hz,              -83.96, dBm,
            79533260,Hz,              -83.90, dBm,
            79549926,Hz,              -83.84, dBm,
            79566592,Hz,              -83.79, dBm,
            79583258,Hz,              -83.78, dBm,
            79599924,Hz,              -83.79, dBm,
            79616590,Hz,              -83.78, dBm,
            79633256,Hz,              -83.72, dBm,
            79649922,Hz,              -83.65, dBm,
            79666588,Hz,              -83.61, dBm,
            79683254,Hz,              -83.61, dBm,
            79699920,Hz,              -83.59, dBm,
            79716586,Hz,              -83.56, dBm,
            79733252,Hz,              -83.52, dBm,
            79749918,Hz,              -83.51, dBm,
            79766584,Hz,              -83.57, dBm,
            79783250,Hz,              -83.64, dBm,
            79799916,Hz,              -83.71, dBm,
            79816582,Hz,              -83.75, dBm,
            79833248,Hz,              -83.76, dBm,
            79849914,Hz,              -83.75, dBm,
            79866580,Hz,              -83.68, dBm,
            79883246,Hz,              -83.57, dBm,
            79899912,Hz,              -83.45, dBm,
            79916578,Hz,              -83.36, dBm,
            79933244,Hz,              -83.33, dBm,
            79949910,Hz,              -83.33, dBm,
            79966576,Hz,              -83.34, dBm,
            79983242,Hz,              -83.31, dBm,
            79999908,Hz,              -83.30, dBm,
            80016574,Hz,              -83.37, dBm,
            80033240,Hz,              -83.44, dBm,
            80049906,Hz,              -83.50, dBm,
            80066572,Hz,              -83.53, dBm,
            80083238,Hz,              -83.49, dBm,
            80099904,Hz,              -83.40, dBm,
            80116570,Hz,              -83.24, dBm,
            80133236,Hz,              -83.10, dBm,
            80149902,Hz,              -82.99, dBm,
            80166568,Hz,              -82.93, dBm,
            80183234,Hz,              -82.96, dBm,
            80199900,Hz,              -83.00, dBm,
            80216566,Hz,              -82.99, dBm,
            80233232,Hz,              -82.92, dBm,
            80249898,Hz,              -82.81, dBm,
            80266564,Hz,              -82.65, dBm,
            80283230,Hz,              -82.54, dBm,
            80299896,Hz,              -82.44, dBm,
            80316562,Hz,              -82.25, dBm,
            80333228,Hz,              -82.00, dBm,
            80349894,Hz,              -81.75, dBm,
            80366560,Hz,              -81.58, dBm,
            80383226,Hz,              -81.56, dBm,
            80399892,Hz,              -81.59, dBm,
            80416558,Hz,              -81.55, dBm,
            80433224,Hz,              -81.47, dBm,
            80449890,Hz,              -81.36, dBm,
            80466556,Hz,              -81.27, dBm,
            80483222,Hz,              -81.24, dBm,
            80499888,Hz,              -81.24, dBm,
            80516554,Hz,              -81.24, dBm,
            80533220,Hz,              -81.23, dBm,
            80549886,Hz,              -81.23, dBm,
            80566552,Hz,              -81.32, dBm,
            80583218,Hz,              -81.39, dBm,
            80599884,Hz,              -81.43, dBm,
            80616550,Hz,              -81.40, dBm,
            80633216,Hz,              -81.36, dBm,
            80649882,Hz,              -81.31, dBm,
            80666548,Hz,              -81.16, dBm,
